X;Y;water_depth;flow_velocity;discharge
34.8708;137.7875;0.19464506208896637;0.4805293679237366;0.7822583913803101
34.8875;137.7875;0.14729638397693634;0.5869190096855164;0.7158700823783875
34.8625;137.7958;0.19459323585033417;0.47664812207221985;0.8177165389060974
34.8708;137.7958;0.1943323016166687;0.4899250566959381;0.8000911474227905
34.8792;137.7958;0.24425320327281952;0.37466415762901306;0.7613844871520996
34.8625;137.8042;1.3145484924316406;0.8068246245384216;81.89177703857422
34.8708;137.8042;0.8683462142944336;1.2214053869247437;81.0025405883789
34.8792;137.8042;1.0516527891159058;1.0082886219024658;80.97801208496094
34.8875;137.8042;0.8379976749420166;1.265480399131775;80.9789810180664
34.8542;137.8125;0.9592516422271729;1.1065539121627808;82.5832748413086
34.8625;137.8125;0.21937230229377747;0.3970978856086731;0.6331159472465515
34.8708;137.8125;0.8498982787132263;1.2480709552764893;81.01927185058594
34.8875;137.8125;0.592248797416687;1.7854831218719482;80.70315551757812
34.8958;137.8125;0.5989028215408325;1.7651563882827759;80.65261840820312
34.9042;137.8125;1.072131633758545;0.9858985543251038;80.63459777832031
34.8542;137.8208;0.8110986351966858;1.3090801239013672;82.61587524414062
34.8708;137.8208;0.15690270066261292;0.5400077700614929;0.5832903981208801
34.9042;137.8208;1.2669131755828857;0.8338955044746399;80.57195281982422
34.8375;137.8292;0.846929669380188;1.2532421350479126;82.64527130126953
34.8458;137.8292;0.7503786683082581;1.4148774147033691;82.64007568359375
34.8792;137.8292;0.1529238373041153;0.5436991453170776;0.5600736141204834
34.8875;137.8292;0.14214536547660828;0.5498058199882507;0.5083796381950378
34.8875;137.8375;0.1258075088262558;0.5776224136352539;0.4688745141029358
34.8958;137.8375;0.09594426304101944;0.6267470121383667;0.38456737995147705
34.8958;137.8458;0.07659400999546051;0.46998414397239685;0.22383077442646027
